id;hp_name;hp_apodo;hp_apodo_second;hp_escpecie;hp_genero;hp_casa;hp_bord;hp_sangre;hp_barita;hp_altura;hp_patronus;hp_actor;hp_image
9e3f7ce4-b9a7-4244-b709-dae5c1f1d4a8;Harry Potter;The Boy Who Lived;The Chosen One;human;male;Gryffindor;31-07-1980;half-blood;holly;11;stag;Daniel Radcliffe;https://ik.imagekit.io/hpapi/harry.jpg
4c7e6819-a91a-45b2-a454-f931e4a7cce3;Hermione Granger;;;human;female;Gryffindor;19-09-1979;muggleborn;vine;10.75;otter;Emma Watson;https://ik.imagekit.io/hpapi/hermione.jpeg
c3b1f9a5-b87b-48bf-b00d-95b093ea6390;Ron Weasley;Dragomir Despard;;human;male;Gryffindor;01-03-1980;pure-blood;willow;14;Jack Russell terrier;Rupert Grint;https://ik.imagekit.io/hpapi/ron.jpg
af95bd8a-dfae-45bb-bc69-533860d34129;Draco Malfoy;;;human;male;Slytherin;05-06-1980;pure-blood;hawthorn;10;;Tom Felton;https://ik.imagekit.io/hpapi/draco.jpg
ca3827f0-375a-4891-aaa5-f5e8a5bad225;Minerva McGonagall;;;human;female;Gryffindor;04-10-1925;half-blood;fir;9.5;tabby cat;Dame Maggie Smith;https://ik.imagekit.io/hpapi/mcgonagall.jpg
d5c4daa3-c726-426a-aa98-fb40f3fba816;Cedric Diggory;;;human;male;Hufflepuff;;;ash;12.25;;Robert Pattinson;https://ik.imagekit.io/hpapi/cedric.png
8f9aa40b-5d7c-441e-ad32-4564ecda3b70;Cho Chang;;;human;female;Ravenclaw;07-04-1979;;;;swan;Katie Leung;https://ik.imagekit.io/hpapi/cho.jpg
3569d265-bd27-44d8-88e8-82fb0a848374;Severus Snape;Half-Blood Prince;;human;male;Slytherin;09-01-1960;half-blood;;;doe;Alan Rickman;https://ik.imagekit.io/hpapi/snape.jpg
36bfefd0-e0bb-4d11-be98-d1ef6117a77a;Rubeus Hagrid;;;half-giant;male;Gryffindor;06-12-1928;half-blood;oak;16;;Robbie Coltrane;https://ik.imagekit.io/hpapi/hagrid.png
3db6dc51-b461-4fa4-a6e4-b1ff352221c5;Neville Longbottom;;;human;male;Gryffindor;30-07-1980;pure-blood;cherry;13;Non-Corporeal;Matthew Lewis;https://ik.imagekit.io/hpapi/neville.jpg
861c4cde-2f0f-4796-8d8f-9492e74b2573;Luna Lovegood;;;human;female;Ravenclaw;13-02-1981;;;;hare;Evanna Lynch;https://ik.imagekit.io/hpapi/luna.jpg
1cd6dc64-01a9-4379-9cfd-1a7167ba1bb1;Ginny Weasley;;;human;female;Gryffindor;11-08-1981;pure-blood;yew;;horse;Bonnie Wright;https://ik.imagekit.io/hpapi/ginny.jpg
2cfd2d4b-5d1e-4dc5-8837-37a97c7e2f2f;Sirius Black;Padfoot;Snuffles;human;male;Gryffindor;03-11-1959;pure-blood;;;hare;Gary Oldman;https://ik.imagekit.io/hpapi/sirius.JPG
b8f9095b-9de6-4d7d-83e0-4391af8f22e4;Remus Lupin;Professor Lupin;Moony;werewolf;male;Gryffindor;10-03-1960;half-blood;cypress;10.25;wolf;David Thewlis;https://ik.imagekit.io/hpapi/lupin.jpg
dd925874-e800-4eb4-9f0d-4d0fed15634b;Arthur Weasley;;;human;male;Gryffindor;06-02-1950;pure-blood;;;weasel;Mark Williams;https://ik.imagekit.io/hpapi/arthur.jpg
6afb1960-febd-418d-b604-e50c1b59459b;Bellatrix Lestrange;Bella;;human;female;Slytherin;;pure-blood;walnut;12.75;;Helena Bonham Carter;https://ik.imagekit.io/hpapi/bellatrix.jpg
efa802c8-ae18-4ae1-a524-49df21d05939;Lord Voldemort;Tom Marvolo Riddle;;human;male;Slytherin;31-12-1926;half-blood;yew;13.5;;Ralph Fiennes;https://ik.imagekit.io/hpapi/voldemort.jpg
2fb675cd-5505-4c8e-a54e-579e73bf4174;Horace Slughorn;;;human;male;Slytherin;;pure-blood;cedar;10.25;;Jim Broadbent;https://ik.imagekit.io/hpapi/slughorn.JPG
106cf68d-a86a-415e-ad75-6ad9a4ae24e4;Kingsley Shacklebolt;;;human;male;;;pure-blood;;;lynx;George Harris;https://ik.imagekit.io/hpapi/kingsley.jpg
d58e7249-19d1-40bd-a43f-1da0497fe8aa;Dolores Umbridge;;;human;female;Slytherin;;half-blood;birch;8;persian cat;Imelda Staunton;https://ik.imagekit.io/hpapi/umbridge.jpg
43403619-70cb-4a0c-b70a-6d5cae20e602;Lucius Malfoy;;;human;male;Slytherin;;pure-blood;elm;18;;Jason Isaacs;https://ik.imagekit.io/hpapi/lucius.jpg
04f9eb45-d843-4e29-a7d3-0bd49ed87f85;Vincent Crabbe;;;human;male;Slytherin;;pure-blood;;;;Jamie Waylett;https://ik.imagekit.io/hpapi/crabbe.jpg
a31ddc78-af12-4978-929c-3cc8a00a833e;Gregory Goyle;;;human;male;Slytherin;;pure-blood;;;;Josh Herdman;https://ik.imagekit.io/hpapi/goyle.jpg
b0620914-858d-46fc-8e6d-033c565e138b;Mrs Norris;;;cat;female;;;;;;;Maxime, Alanis and Tommy the cats;https://ik.imagekit.io/hpapi/norris.JPG
2b82cfb8-0440-4a57-a030-6d75a40c0d98;Argus Filch;;;human;male;;;squib;;;;David Bradley;https://ik.imagekit.io/hpapi/filch.jpg
b4ffe89b-8796-42ad-a6d9-5af1a369af7e;Vernon Dursley;;;human;male;;;muggle;;;;Richard Griffiths;
fed624df-56d9-495e-9ad4-ea77000957e8;Petunia Dursley;;;human;female;;;muggle;;;;Fiona Shaw;
7614cf6e-689e-47ac-a976-b1e9997637e9;Dudley Dursley;;;human;male;;23-6-1980;muggle;;;;Harry Melling;
41cd0bbe-a943-431b-9bde-bb2cad3491a1;Lily Potter;;;human;female;Gryffindor;30-01-1960;muggleborn;willow;10.25;;Geraldine Somerville;
34eb6182-00cf-4c95-ae73-7d2f34066d18;James Potter;Prongs;;human;male;Gryffindor;27-03-1960;pure-blood;mahogany;11;stag;Adrian Rawlins;
b415c867-1cff-455e-b194-748662ac2cca;Albus Dumbledore;Professor Dumbledore;;human;male;Gryffindor;;half-blood;;;;Richard Harris;
